session_id,timestamp,traffic_source,campaign_id,device_type,landing_page_variant,geo_region,returning_visitor,session_duration_sec,scroll_depth_pct,num_clicks,sections_viewed,time_to_first_scroll_sec,form_started,form_field_interactions,converted,appointment_set,appointment_overall,log_duration,log_clicks,log_time_to_first_scroll,session_date,intent_score,intent_tier
s_672811,2026-02-22 12:55:14,google,g_camp_0011,tablet,A,South,0,13.7,16.4,3,0,2.77,0,0,0,,0,2.6878474937846906,1.3862943611198906,1.3270750014599193,2026-02-22,0.002162391423586382,Low
s_613680,2026-02-26 22:48:48,facebook,fb_camp_0002,mobile,B,South,0,7.8,32.0,3,1,5.51,0,0,0,,0,2.174751721484161,1.3862943611198906,1.873339456220478,2026-02-26,0.0028374446316395473,Low
s_311500,2026-02-16 18:53:35,facebook,fb_camp_0001,desktop,A,West,0,6.9,16.8,3,3,4.74,0,0,0,,0,2.066862759472976,1.3862943611198906,1.747459210331475,2026-02-16,0.004052160122315316,Low
s_094737,2026-03-14 02:34:48,facebook,fb_camp_0002,mobile,A,South,0,68.7,14.3,1,2,10.54,0,0,0,,0,4.244200317766478,0.6931471805599453,2.4458192610799534,2026-03-14,0.0026826675805977002,Low
s_118424,2026-02-25 16:31:56,google,g_camp_0011,desktop,A,South,0,62.0,26.4,10,4,2.75,0,0,0,,0,4.143134726391533,2.3978952727983707,1.3217558399823195,2026-02-25,0.040640078037471696,Medium
s_667349,2026-02-25 23:17:16,google,g_camp_0011,desktop,A,Northeast,0,25.5,85.3,5,6,2.35,0,0,0,,0,3.2771447329921766,1.791759469228055,1.208960345836975,2026-02-25,0.15042320632653905,High
s_938750,2026-02-16 00:22:36,google,g_camp_0012,mobile,B,West,0,126.8,40.3,9,3,3.33,1,4,0,,0,4.850466541943434,2.302585092994046,1.4655675420143985,2026-02-16,0.04834700865930398,Medium
s_324769,2026-02-13 05:33:04,google,g_camp_0013,desktop,B,Northeast,0,24.3,37.9,3,2,4.04,0,0,0,,0,3.2308043957334744,1.3862943611198906,1.6174060820832772,2026-02-13,0.007622111237028648,Low
s_920977,2026-03-24 19:44:55,facebook,fb_camp_0003,mobile,B,South,0,35.4,62.0,2,3,9.63,1,4,0,,0,3.594568774642695,1.0986122886681096,2.363680192353857,2026-03-24,0.012744998998763104,Medium
s_353102,2026-02-11 11:25:07,google,g_camp_0012,desktop,A,South,0,54.3,49.6,7,6,2.84,0,0,0,,0,4.012772908528289,2.0794415416798357,1.3454723665996355,2026-02-11,0.09551209862543628,High
