session_id,outcome_label,final_intent_tier,checkpoint_frac_of_session,elapsed_sec,score,live_tier
s_757669,became_lead,High,0.2,12.540000000000001,0.00259556410508422,Low
s_757669,became_lead,High,0.4,25.080000000000002,0.016148541832936805,Medium
s_757669,became_lead,High,0.6,37.62,0.05538043386388852,High
s_757669,became_lead,High,0.8,50.160000000000004,0.20609068400904723,High
s_757669,became_lead,High,1.0,62.7,0.4371543717180712,High
s_189859,became_lead,Medium,0.2,3.6,0.000700514705039266,Low
s_189859,became_lead,Medium,0.4,7.2,0.001875404435354181,Low
s_189859,became_lead,Medium,0.6,10.799999999999999,0.0027772505224625153,Low
s_189859,became_lead,Medium,0.8,14.4,0.007747859110829597,Low
s_189859,became_lead,Medium,1.0,18.0,0.014967751741906586,Medium
s_256152,became_lead,High,0.2,27.62,0.0034682953946353562,Low
s_256152,became_lead,High,0.4,55.24,0.015693796080595783,Medium
s_256152,became_lead,High,0.6,82.86,0.0733545147642865,High
s_256152,became_lead,High,0.8,110.48,0.20197780884259753,High
s_256152,became_lead,High,1.0,138.1,0.4311178577935736,High
s_587715,did_not_convert,Low,0.2,0.82,0.00037746339856585895,Low
s_587715,did_not_convert,Low,0.4,1.64,0.0007400799636118213,Low
s_587715,did_not_convert,Low,0.6,2.4599999999999995,0.0007790410660170693,Low
s_587715,did_not_convert,Low,0.8,3.28,0.0014788597756574277,Low
s_587715,did_not_convert,Low,1.0,4.1,0.0019344439775361496,Low
s_287082,did_not_convert,High,0.2,10.14,0.0010926485723686185,Low
s_287082,did_not_convert,High,0.4,20.28,0.003799198637857452,Low
s_287082,did_not_convert,High,0.6,30.42,0.008519117291552684,Low
s_287082,did_not_convert,High,0.8,40.56,0.023232242911891333,Medium
s_287082,did_not_convert,High,1.0,50.7,0.05747242336418176,High
s_762375,did_not_convert,High,0.2,19.22,0.0018198470736983485,Low
s_762375,did_not_convert,High,0.4,38.44,0.007092608771051637,Low
s_762375,did_not_convert,High,0.6,57.66,0.03089931794996768,Medium
s_762375,did_not_convert,High,0.8,76.88,0.08534862840922695,High
s_762375,did_not_convert,High,1.0,96.1,0.205050698923242,High
